"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
1553,"2019-12-01 00:07:13.9360","2019-12-01 00:33:07.6820",3681,"Grand St",40.71517767732029,-74.03768330812454,3198,"Heights Elevator",40.748715945380226,-74.04044330120087,29462,"Subscriber",1980,1
416,"2019-12-01 00:16:40.4700","2019-12-01 00:23:36.5700",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3679,"Bergen Ave",40.722103786686034,-74.07145500183105,29610,"Subscriber",1956,1
294,"2019-12-01 00:20:29.7980","2019-12-01 00:25:23.9690",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,26166,"Subscriber",1977,1
97,"2019-12-01 00:21:13.7580","2019-12-01 00:22:51.5970",3202,"Newport PATH",40.7272235,-74.0337589,3638,"Washington St",40.7242941,-74.0354826,29492,"Subscriber",1993,1
286,"2019-12-01 00:29:58.0230","2019-12-01 00:34:44.2280",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3679,"Bergen Ave",40.722103786686034,-74.07145500183105,29440,"Customer",1990,1
192,"2019-12-01 00:36:34.3800","2019-12-01 00:39:46.3950",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,29247,"Customer",1969,0
538,"2019-12-01 01:08:24.2510","2019-12-01 01:17:22.2930",3185,"City Hall",40.7177325,-74.043845,3268,"Lafayette Park",40.71346382669195,-74.06285852193832,29479,"Customer",1996,1
426,"2019-12-01 01:16:32.6940","2019-12-01 01:23:39.5230",3202,"Newport PATH",40.7272235,-74.0337589,3203,"Hamilton Park",40.727595966,-74.044247311,29659,"Customer",1969,0
457,"2019-12-01 01:21:01.5610","2019-12-01 01:28:38.8630",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603,26267,"Subscriber",1969,1
441,"2019-12-01 01:44:56.2570","2019-12-01 01:52:17.9410",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3192,"Liberty Light Rail",40.7112423,-74.0557013,29273,"Subscriber",1984,1
151,"2019-12-01 01:44:59.8330","2019-12-01 01:47:31.3180",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,29503,"Subscriber",1990,1
363,"2019-12-01 01:53:56.4350","2019-12-01 02:00:00.4240",3202,"Newport PATH",40.7272235,-74.0337589,3639,"Harborside",40.7192517,-74.034234,26207,"Subscriber",1949,1
120,"2019-12-01 02:08:23.5570","2019-12-01 02:10:24.1140",3211,"Newark Ave",40.72152515,-74.046304543,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,29592,"Subscriber",1996,2
113,"2019-12-01 02:22:23.2110","2019-12-01 02:24:16.9180",3211,"Newark Ave",40.72152515,-74.046304543,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,29291,"Subscriber",1993,1
307,"2019-12-01 03:13:33.4310","2019-12-01 03:18:41.1280",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3280,"Astor Place",40.71928220070702,-74.07126188278198,29295,"Subscriber",1977,1
537,"2019-12-01 03:47:23.4460","2019-12-01 03:56:20.5770",3640,"Journal Square",40.73367,-74.0625,3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603,29279,"Subscriber",1989,1
311,"2019-12-01 04:46:59.5300","2019-12-01 04:52:11.0520",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3679,"Bergen Ave",40.722103786686034,-74.07145500183105,26221,"Subscriber",1986,1
153,"2019-12-01 04:48:13.4490","2019-12-01 04:50:47.3690",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29656,"Subscriber",1992,1
768,"2019-12-01 05:10:31.5480","2019-12-01 05:23:20.0880",3193,"Lincoln Park",40.7246050998869,-74.07840594649315,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29534,"Subscriber",1996,1
223,"2019-12-01 05:29:36.6090","2019-12-01 05:33:20.1840",3277,"Communipaw & Berry Lane",40.71435836870427,-74.06661093235016,3192,"Liberty Light Rail",40.7112423,-74.0557013,26212,"Customer",1969,0
119,"2019-12-01 05:51:41.9530","2019-12-01 05:53:41.2870",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,29229,"Subscriber",1983,1
280,"2019-12-01 05:55:57.4310","2019-12-01 06:00:37.7070",3275,"Columbus Drive",40.71835519823214,-74.03891444206238,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29294,"Subscriber",1983,1
142,"2019-12-01 06:24:29.8140","2019-12-01 06:26:52.4820",3202,"Newport PATH",40.7272235,-74.0337589,3199,"Newport Pkwy",40.7287448,-74.0321082,29441,"Subscriber",1994,2
347,"2019-12-01 06:29:34.6600","2019-12-01 06:35:22.2800",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,29534,"Subscriber",1966,1
568,"2019-12-01 06:36:11.5420","2019-12-01 06:45:39.5550",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,29275,"Customer",1969,0
449,"2019-12-01 06:45:17.8640","2019-12-01 06:52:47.8330",3679,"Bergen Ave",40.722103786686034,-74.07145500183105,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29610,"Subscriber",1995,1
609,"2019-12-01 06:54:57.9110","2019-12-01 07:05:06.9340",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,29303,"Subscriber",1960,1
317,"2019-12-01 06:55:01.2120","2019-12-01 07:00:18.8630",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3638,"Washington St",40.7242941,-74.0354826,29222,"Subscriber",1986,2
199,"2019-12-01 06:58:23.5700","2019-12-01 07:01:42.7520",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,26239,"Subscriber",1980,1
396,"2019-12-01 07:09:32.6430","2019-12-01 07:16:09.5810",3211,"Newark Ave",40.72152515,-74.046304543,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,26219,"Subscriber",1985,2
273,"2019-12-01 07:17:35.6040","2019-12-01 07:22:08.8580",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3481,"York St",40.71649,-74.04105,29243,"Subscriber",1991,2
164,"2019-12-01 07:38:03.5970","2019-12-01 07:40:47.6800",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3185,"City Hall",40.7177325,-74.043845,29460,"Subscriber",1985,2
476,"2019-12-01 07:40:39.2520","2019-12-01 07:48:35.3290",3275,"Columbus Drive",40.71835519823214,-74.03891444206238,3202,"Newport PATH",40.7272235,-74.0337589,29618,"Customer",1990,2
337,"2019-12-01 07:46:04.0860","2019-12-01 07:51:41.2590",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3225,"Baldwin at Montgomery",40.7236589,-74.0641943,26228,"Subscriber",1988,1
285,"2019-12-01 07:59:37.5500","2019-12-01 08:04:23.3100",3638,"Washington St",40.7242941,-74.0354826,3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,29492,"Subscriber",1986,2
186,"2019-12-01 08:02:51.8930","2019-12-01 08:05:57.8990",3211,"Newark Ave",40.72152515,-74.046304543,3187,"Warren St",40.7211236,-74.03805095,26211,"Subscriber",1988,2
410,"2019-12-01 08:15:41.0490","2019-12-01 08:22:31.3700",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3193,"Lincoln Park",40.7246050998869,-74.07840594649315,26227,"Subscriber",1983,1
158,"2019-12-01 08:24:45.1330","2019-12-01 08:27:23.8660",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29459,"Subscriber",1976,1
310,"2019-12-01 08:28:53.1800","2019-12-01 08:34:03.7230",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3639,"Harborside",40.7192517,-74.034234,26287,"Subscriber",1985,2
758,"2019-12-01 08:33:25.6560","2019-12-01 08:46:04.3080",3193,"Lincoln Park",40.7246050998869,-74.07840594649315,3483,"Montgomery St",40.71942,-74.05099,29236,"Subscriber",1987,1
152,"2019-12-01 08:34:12.2190","2019-12-01 08:36:44.2670",3213,"Van Vorst Park",40.71848892,-74.047726625,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29552,"Subscriber",1967,2
883,"2019-12-01 08:36:28.3680","2019-12-01 08:51:11.7020",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,26182,"Subscriber",1987,1
570,"2019-12-01 08:42:03.3250","2019-12-01 08:51:34.2320",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3184,"Paulus Hook",40.7141454,-74.0335519,29291,"Subscriber",1978,1
204,"2019-12-01 08:47:26.2950","2019-12-01 08:50:50.6400",3203,"Hamilton Park",40.727595966,-74.044247311,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,29609,"Subscriber",1988,1
178,"2019-12-01 08:50:10.5200","2019-12-01 08:53:08.8900",3203,"Hamilton Park",40.727595966,-74.044247311,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,29445,"Subscriber",1991,2
130,"2019-12-01 08:52:31.9760","2019-12-01 08:54:42.0630",3639,"Harborside",40.7192517,-74.034234,3792,"Columbus Dr at Exchange Pl",40.71687,-74.03281,26261,"Subscriber",1962,2
145,"2019-12-01 08:57:42.5860","2019-12-01 09:00:07.7860",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26290,"Subscriber",1967,1
346,"2019-12-01 08:59:58.2100","2019-12-01 09:05:44.7900",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3187,"Warren St",40.7211236,-74.03805095,29638,"Subscriber",1964,2
425,"2019-12-01 09:01:35.7700","2019-12-01 09:08:40.8340",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,29534,"Subscriber",1968,1
504,"2019-12-01 09:02:12.1590","2019-12-01 09:10:36.4540",3187,"Warren St",40.7211236,-74.03805095,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,29226,"Customer",1995,1
447,"2019-12-01 09:03:55.1540","2019-12-01 09:11:22.5950",3185,"City Hall",40.7177325,-74.043845,3202,"Newport PATH",40.7272235,-74.0337589,29537,"Subscriber",1962,1
273,"2019-12-01 09:09:57.7400","2019-12-01 09:14:31.4450",3639,"Harborside",40.7192517,-74.034234,3481,"York St",40.71649,-74.04105,26287,"Subscriber",1985,2
407,"2019-12-01 09:14:28.3100","2019-12-01 09:21:15.4020",3268,"Lafayette Park",40.71346382669195,-74.06285852193832,3185,"City Hall",40.7177325,-74.043845,29595,"Customer",1991,1
988,"2019-12-01 09:14:52.2200","2019-12-01 09:31:20.2710",3639,"Harborside",40.7192517,-74.034234,3213,"Van Vorst Park",40.71848892,-74.047726625,29660,"Subscriber",1973,2
136,"2019-12-01 09:15:20.3230","2019-12-01 09:17:37.1340",3203,"Hamilton Park",40.727595966,-74.044247311,3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,26298,"Subscriber",1985,1
218,"2019-12-01 09:18:20.5800","2019-12-01 09:21:58.5940",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29492,"Subscriber",1977,1
202,"2019-12-01 09:18:48.8210","2019-12-01 09:22:11.1360",3199,"Newport Pkwy",40.7287448,-74.0321082,3638,"Washington St",40.7242941,-74.0354826,29469,"Subscriber",1970,1
106,"2019-12-01 09:20:52.4010","2019-12-01 09:22:38.6950",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3211,"Newark Ave",40.72152515,-74.046304543,29623,"Subscriber",1976,1
276,"2019-12-01 09:21:10.5510","2019-12-01 09:25:47.4130",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,29524,"Subscriber",1989,2
301,"2019-12-01 09:24:15.2700","2019-12-01 09:29:16.8420",3639,"Harborside",40.7192517,-74.034234,3202,"Newport PATH",40.7272235,-74.0337589,29527,"Subscriber",1996,2
468,"2019-12-01 09:25:50.1530","2019-12-01 09:33:39.0920",3199,"Newport Pkwy",40.7287448,-74.0321082,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,29260,"Customer",1995,2
258,"2019-12-01 09:27:16.6500","2019-12-01 09:31:34.6580",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29275,"Subscriber",1985,1
182,"2019-12-01 09:27:42.6730","2019-12-01 09:30:45.6340",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,29492,"Subscriber",1977,1
189,"2019-12-01 09:29:00.4470","2019-12-01 09:32:10.1960",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3677,"Glenwood Ave",40.72755146730012,-74.07106071710587,29227,"Subscriber",1994,2
1293,"2019-12-01 09:30:49.4570","2019-12-01 09:52:22.7100",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3209,"Brunswick St",40.7241765,-74.0506564,26192,"Subscriber",1990,1
618,"2019-12-01 09:32:41.7970","2019-12-01 09:43:00.3470",3207,"Oakland Ave",40.7376037,-74.0524783,3185,"City Hall",40.7177325,-74.043845,29473,"Subscriber",1994,1
144,"2019-12-01 09:34:15.6580","2019-12-01 09:36:39.7290",3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,3203,"Hamilton Park",40.727595966,-74.044247311,26298,"Subscriber",1985,1
202,"2019-12-01 09:38:03.2090","2019-12-01 09:41:25.6690",3209,"Brunswick St",40.7241765,-74.0506564,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29620,"Subscriber",1984,1
741,"2019-12-01 09:38:56.0180","2019-12-01 09:51:17.7160",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3277,"Communipaw & Berry Lane",40.71435836870427,-74.06661093235016,29492,"Subscriber",1985,1
207,"2019-12-01 09:48:07.5730","2019-12-01 09:51:34.7640",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,26195,"Subscriber",1966,1
649,"2019-12-01 09:48:27.7110","2019-12-01 09:59:17.3220",3209,"Brunswick St",40.7241765,-74.0506564,3209,"Brunswick St",40.7241765,-74.0506564,29545,"Customer",1982,1
677,"2019-12-01 09:49:44.2260","2019-12-01 10:01:01.9100",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29522,"Subscriber",1977,2
470,"2019-12-01 09:50:30.9080","2019-12-01 09:58:21.5400",3268,"Lafayette Park",40.71346382669195,-74.06285852193832,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29479,"Subscriber",1979,1
511,"2019-12-01 09:50:32.2600","2019-12-01 09:59:03.8730",3268,"Lafayette Park",40.71346382669195,-74.06285852193832,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29486,"Customer",1990,1
359,"2019-12-01 09:51:06.2350","2019-12-01 09:57:06.0100",3273,"Manila & 1st",40.721650724879986,-74.04288411140442,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,29520,"Subscriber",1988,1
277,"2019-12-01 09:52:10.6570","2019-12-01 09:56:48.3810",3213,"Van Vorst Park",40.71848892,-74.047726625,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,26226,"Subscriber",1985,1
296,"2019-12-01 09:56:09.1850","2019-12-01 10:01:05.2310",3275,"Columbus Drive",40.71835519823214,-74.03891444206238,3638,"Washington St",40.7242941,-74.0354826,29219,"Subscriber",1989,1
319,"2019-12-01 09:58:38.3180","2019-12-01 10:03:57.7450",3207,"Oakland Ave",40.7376037,-74.0524783,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29209,"Subscriber",1994,1
